File,English_Dialogue,Hindi_Dialogue,order
235423.jpeg,Abhi : This booze is too strong brah. ,,19
5435.jpeg,"Anvi : Oh my god , Ive always wanted to try this.","?????: ?? ??? ???, ??? ????? ?? ??? ???? ????? ???",18
5.jpeg,Shravan : Lets get this show on the road guys \n Abhi : What do you have in mind ? \n Shravan : Lets get beer? ,????? : ??? ?? ?? ?? ???? ?? ???? ??? ??????? \n ??? : ???????? ?? ??? ???? ?? ? \n ????? : ??? ???? ???? ????,16
4.jpeg,Shobith : Okay auntie We'll take care. ,????? : ??? ?? ???? ?? ?? ????? ??????,15
20221012_210726.jpeg,"Shravans Mom : Take care of my son dear , I am depending on you guys.","????? ?? ???: ???? ???? ?? ????? ????, ??? ??? ????? ?? ?????? ????",14
IMG_0776.jpeg,Shravan : My parents want to talk to one of you here's my phone,"????? : ???? ????-???? ?? ??? ?? ???? ?? ?? ??? ???? ????? ???, ?? ???? ??? ??",13
20221010_181624.jpeg,It was almost dusk as the gang put a hold on exploration,????-???? ??? ?? ??? ?? ??????? ?? ??? ?? ??? ??? ??,12
IMG_0758 - Copy.jpeg,Experiencing Fall in the New England Area,???? ???????? ??????? ??? ????? ?? ???? ?? ?????,11
3.jpeg,Placing the bag in the locker,??? ?? ???? ??? ????,10
4 (2).jpeg,Exploring the tunnels \n Shobith : How bout we wait here till Anvi gets the locker keys,"??????? ?? ??? \n ????? : ?? ?? ????? ?? ???? ?? ??????? ???? ??? ????, ?? ?? ?? ???? ?????? ??????",9
2.jpeg,Abhi : Why don’t we keep our bags in the locker room continue the exploration,"???: ?? ???? ??? ???? ??? ??? ????? ???? ????, ???? ???? ????",8
2 (2).jpeg,After winning some goodies \n Anvi : I have a feeling todays going to be a memorable day,??? ????? ????? ?? ??? \n ????? : ???? ?? ??? ?? ?? ?? ?? ??? ?????? ???? ???? ??,7
5 (2).jpeg,Anvi : I hope my luck isnt as bad as it is in India,????? : ???? ??? ?? ?? ???? ?????? ???? ???? ???? ???? ????? ???? ??? ??,6
3454.jpeg,Around the vicinity of the campus \n Shobith : When are supposed to even cross the road man,????? ?? ????? \n ????? : ?? ???? ??? ???? ?? ???,5
20221012_152148.jpeg,ahhh Northeasteastern University - the place where dreams come true,?????? ???????????? ??????????? - ?? ??? ???? ???? ?? ???? ???,4
7.jpeg,"As the gang entered the Ruggles Station  \n Abhishek : Damn , its hugeeeee!!! Anvi : That’s what she said",,3
1.jpeg,Meeting up with gang offline after months of online interaction,?????? ?? ?????? ?????? ?? ??? ??????? ????? ?? ??? ????,2
0.jpeg,FINALLY BOSTON ….......,??????? ?????? ,1
IMG_0661.jpeg,Shobith : What can we try ? ,????? : ???? ???? ???? ??????,17
2345234.jpeg,Abhi : I heard we can get free juices at Panera. \n Anvi : How about we use it to mix the drinks,???: ????? ???? ?? ?? ????? ??? ???? ??? ?? ???? ???? \n ????? : ??? ???????? ?? ?????? ?? ??? ?? ???? ????? ???? ???? ???,20
