File,English_Dialogue,Hindi_Dialogue,Order,d/n
0.jpeg,FINALLY BOSTON ….......,,1,d
1.jpeg,"Meeting up with gang offline after months of online interaction. \n Shravan : Damn! I do not have any place to sleep, probably should just sleep in the library.",,2,d
7.jpeg,"As the gang entered the Ruggles Station  \n Abhishek : Damn , its hugeeeee!!! Anvi : That’s what she said",,3,d
20221012_152148.jpeg,ahhh Northeasteastern University - the place where dreams come true,,4,d
3454.jpeg,Around the vicinity of the campus \n Shobith : When are supposed to even cross the road man,,5,d
5 (2).jpeg,Anvi : I hope my luck isnt as bad as it is in India,Chance pe dance ,6,d
2 (2).jpeg,After winning some goodies \n Anvi : I have a feeling todays going to be a memorable day,,7,d
2.jpeg,Abhi : Why don’t we keep our bags in the locker room continue the exploration,,8,d
4 (2).jpeg,Exploring the tunnels \n Shobith : How bout we wait here till Anvi gets the locker keys,,9,d
3.jpeg,Placing the bag in the locker,,10,d
IMG_0758 - Copy.jpeg,Experiencing Fall in the New England Area,,11,d
20221010_181624.jpeg,It was almost dusk as the gang put a hold on exploration,,12,d
IMG_0776.jpeg,Shravan : My parents want to talk to one of you here's my phone,,13,d
20221012_210726.jpeg,"Shravans Mom : Take care of my son dear , I am depending on you guys.",,14,d
4.jpeg,Shobith : Okay auntie We'll take care. ,,15,d
5.jpeg,Shravan : Lets get this show on the road guys \n Abhi : What do you have in mind ? \n Shravan : Lets get beer? ,,16,d
IMG_0661.jpeg,Shobith : What can we try ? ,,17,d
5435.jpeg,"Anvi : Oh my god , Ive always wanted to try this.",,18,d
235423.jpeg,Abhi : This booze is too strong brah. ,,19,d
2345234.jpeg,Abhi : I heard we can get free juices at Panera. \n Anvi : How about we use it to mix the drinks,,20,d
